Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/190 [00:00<?, ?it/s]
Loading weights:  27%|██▋       | 52/190 [00:00<00:00, 518.34it/s]
Loading weights: 100%|██████████| 190/190 [00:00<00:00, 1833.79it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Loading weights:   0%|          | 0/559 [00:00<?, ?it/s]
Loading weights:   7%|▋         | 41/559 [00:00<00:01, 394.11it/s]
Loading weights:  15%|█▍        | 82/559 [00:00<00:01, 391.21it/s]
Loading weights:  22%|██▏       | 124/559 [00:00<00:01, 399.89it/s]
Loading weights:  30%|██▉       | 166/559 [00:00<00:00, 396.49it/s]
Loading weights:  37%|███▋      | 206/559 [00:00<00:00, 396.66it/s]
Loading weights:  44%|████▍     | 247/559 [00:00<00:00, 389.57it/s]
Loading weights:  52%|█████▏    | 288/559 [00:00<00:00, 392.22it/s]
Loading weights:  59%|█████▊    | 328/559 [00:00<00:00, 386.87it/s]
Loading weights:  66%|██████▌   | 367/559 [00:00<00:00, 355.88it/s]
Loading weights:  72%|███████▏  | 404/559 [00:01<00:00, 343.15it/s]
Loading weights:  79%|███████▊  | 439/559 [00:01<00:00, 333.37it/s]
Loading weights:  85%|████████▍ | 473/559 [00:01<00:00, 328.61it/s]
Loading weights:  91%|█████████ | 508/559 [00:01<00:00, 324.17it/s]
Loading weights:  97%|█████████▋| 541/559 [00:01<00:00, 323.57it/s]
Loading weights: 100%|██████████| 559/559 [00:01<00:00, 349.53it/s]
[transformers] The tied weights mapping and config for this model specifies to tie shared.weight to lm_head.weight, but both are present in the checkpoints with different values, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning.
[GKD setup]
student         : google/flan-t5-small
teacher         : google/flan-t5-xxl
device          : cuda
divergence      : jsd
beta            : 0.50
lambda          : 0.50
updates         : 1000
micro batch     : 1
grad accum      : 16
effective batch : 16
save dir        : /home/ubuntu/t5_gsm8k/t5_small_gsm8k_gkd_true_laptop
train:   0%|          | 0/1000 [00:00<?, ?it/s]
train:   0%|          | 0/1000 [00:05<?, ?it/s, loss=0.2566, lr=3.75e-06, sup=6, onp=10, gpu=22.24G]
train:  55%|█████▌    | 552/1000 [45:06<32:33,  4.36s/it, loss=0.1474, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  55%|█████▌    | 552/1000 [45:10<32:33,  4.36s/it, loss=0.1576, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  55%|█████▌    | 553/1000 [45:10<32:18,  4.34s/it, loss=0.1576, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  55%|█████▌    | 553/1000 [45:14<32:18,  4.34s/it, loss=0.1718, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  55%|█████▌    | 554/1000 [45:14<32:01,  4.31s/it, loss=0.1718, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  55%|█████▌    | 554/1000 [45:17<32:01,  4.31s/it, loss=0.1626, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  56%|█████▌    | 555/1000 [45:17<31:37,  4.26s/it, loss=0.1626, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  56%|█████▌    | 555/1000 [45:21<31:37,  4.26s/it, loss=0.1581, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  56%|█████▌    | 556/1000 [45:21<31:37,  4.27s/it, loss=0.1581, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  56%|█████▌    | 556/1000 [45:26<31:37,  4.27s/it, loss=0.1565, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  56%|█████▌    | 557/1000 [45:26<31:41,  4.29s/it, loss=0.1565, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  56%|█████▌    | 557/1000 [45:31<31:41,  4.29s/it, loss=0.1617, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  56%|█████▌    | 558/1000 [45:31<31:49,  4.32s/it, loss=0.1617, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  56%|█████▌    | 558/1000 [45:36<31:49,  4.32s/it, loss=0.1445, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  56%|█████▌    | 559/1000 [45:36<31:50,  4.33s/it, loss=0.1445, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  56%|█████▌    | 559/1000 [45:39<31:50,  4.33s/it, loss=0.1641, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  56%|█████▌    | 560/1000 [45:39<31:34,  4.31s/it, loss=0.1641, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  56%|█████▌    | 560/1000 [45:43<31:34,  4.31s/it, loss=0.1796, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  56%|█████▌    | 561/1000 [45:43<31:23,  4.29s/it, loss=0.1796, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  56%|█████▌    | 561/1000 [45:47<31:23,  4.29s/it, loss=0.1674, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  56%|█████▌    | 562/1000 [45:47<31:06,  4.26s/it, loss=0.1674, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  56%|█████▌    | 562/1000 [45:50<31:06,  4.26s/it, loss=0.1946, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  56%|█████▋    | 563/1000 [45:50<30:25,  4.18s/it, loss=0.1946, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  56%|█████▋    | 563/1000 [45:53<30:25,  4.18s/it, loss=0.1618, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  56%|█████▋    | 564/1000 [45:53<30:06,  4.14s/it, loss=0.1618, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  56%|█████▋    | 564/1000 [45:58<30:06,  4.14s/it, loss=0.1628, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  56%|█████▋    | 565/1000 [45:58<30:17,  4.18s/it, loss=0.1628, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  56%|█████▋    | 565/1000 [46:01<30:17,  4.18s/it, loss=0.1677, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  57%|█████▋    | 566/1000 [46:01<29:59,  4.15s/it, loss=0.1677, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  57%|█████▋    | 566/1000 [46:04<29:59,  4.15s/it, loss=0.1574, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  57%|█████▋    | 567/1000 [46:04<29:20,  4.07s/it, loss=0.1574, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  57%|█████▋    | 567/1000 [46:07<29:20,  4.07s/it, loss=0.1793, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  57%|█████▋    | 568/1000 [46:07<28:50,  4.01s/it, loss=0.1793, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  57%|█████▋    | 568/1000 [46:10<28:50,  4.01s/it, loss=0.1595, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  57%|█████▋    | 569/1000 [46:10<28:18,  3.94s/it, loss=0.1595, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  57%|█████▋    | 569/1000 [46:13<28:18,  3.94s/it, loss=0.1730, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  57%|█████▋    | 570/1000 [46:13<28:07,  3.92s/it, loss=0.1730, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  57%|█████▋    | 570/1000 [46:16<28:07,  3.92s/it, loss=0.1653, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  57%|█████▋    | 571/1000 [46:16<27:47,  3.89s/it, loss=0.1653, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  57%|█████▋    | 571/1000 [46:20<27:47,  3.89s/it, loss=0.1532, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  57%|█████▋    | 572/1000 [46:20<27:29,  3.86s/it, loss=0.1532, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  57%|█████▋    | 572/1000 [46:23<27:29,  3.86s/it, loss=0.1699, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  57%|█████▋    | 573/1000 [46:23<27:17,  3.84s/it, loss=0.1699, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  57%|█████▋    | 573/1000 [46:27<27:17,  3.84s/it, loss=0.1626, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  57%|█████▋    | 574/1000 [46:27<27:17,  3.84s/it, loss=0.1626, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  57%|█████▋    | 574/1000 [46:34<27:17,  3.84s/it, loss=0.1549, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  57%|█████▊    | 575/1000 [46:34<28:16,  3.99s/it, loss=0.1549, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
                                                                                                              

train:  57%|█████▊    | 575/1000 [46:34<28:16,  3.99s/it, loss=0.1549, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  57%|█████▊    | 575/1000 [46:39<28:16,  3.99s/it, loss=0.1512, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  58%|█████▊    | 576/1000 [46:39<28:34,  4.04s/it, loss=0.1512, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  58%|█████▊    | 576/1000 [46:43<28:34,  4.04s/it, loss=0.1499, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  58%|█████▊    | 577/1000 [46:43<28:36,  4.06s/it, loss=0.1499, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  58%|█████▊    | 577/1000 [46:50<28:36,  4.06s/it, loss=0.1677, lr=3.00e-04, sup=7, onp=9, gpu=22.48G] 
train:  58%|█████▊    | 578/1000 [46:50<29:22,  4.18s/it, loss=0.1677, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  58%|█████▊    | 578/1000 [46:55<29:22,  4.18s/it, loss=0.1543, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  58%|█████▊    | 579/1000 [46:55<29:36,  4.22s/it, loss=0.1543, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  58%|█████▊    | 579/1000 [47:00<29:36,  4.22s/it, loss=0.1510, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  58%|█████▊    | 580/1000 [47:00<29:49,  4.26s/it, loss=0.1510, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  58%|█████▊    | 580/1000 [47:06<29:49,  4.26s/it, loss=0.1616, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  58%|█████▊    | 581/1000 [47:06<30:23,  4.35s/it, loss=0.1616, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  58%|█████▊    | 581/1000 [47:09<30:23,  4.35s/it, loss=0.1915, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  58%|█████▊    | 582/1000 [47:09<29:44,  4.27s/it, loss=0.1915, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  58%|█████▊    | 582/1000 [47:14<29:44,  4.27s/it, loss=0.1584, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  58%|█████▊    | 583/1000 [47:14<29:58,  4.31s/it, loss=0.1584, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  58%|█████▊    | 583/1000 [47:19<29:58,  4.31s/it, loss=0.1637, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  58%|█████▊    | 584/1000 [47:19<30:18,  4.37s/it, loss=0.1637, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  58%|█████▊    | 584/1000 [47:25<30:18,  4.37s/it, loss=0.1419, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  58%|█████▊    | 585/1000 [47:25<30:37,  4.43s/it, loss=0.1419, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  58%|█████▊    | 585/1000 [47:29<30:37,  4.43s/it, loss=0.1636, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  59%|█████▊    | 586/1000 [47:29<30:32,  4.43s/it, loss=0.1636, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  59%|█████▊    | 586/1000 [47:34<30:32,  4.43s/it, loss=0.1589, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  59%|█████▊    | 587/1000 [47:34<30:28,  4.43s/it, loss=0.1589, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  59%|█████▊    | 587/1000 [47:38<30:28,  4.43s/it, loss=0.1899, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  59%|█████▉    | 588/1000 [47:38<30:30,  4.44s/it, loss=0.1899, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  59%|█████▉    | 588/1000 [47:43<30:30,  4.44s/it, loss=0.1595, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  59%|█████▉    | 589/1000 [47:43<30:24,  4.44s/it, loss=0.1595, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  59%|█████▉    | 589/1000 [47:48<30:24,  4.44s/it, loss=0.1706, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  59%|█████▉    | 590/1000 [47:48<30:46,  4.50s/it, loss=0.1706, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  59%|█████▉    | 590/1000 [47:54<30:46,  4.50s/it, loss=0.1678, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  59%|█████▉    | 591/1000 [47:54<31:03,  4.56s/it, loss=0.1678, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  59%|█████▉    | 591/1000 [48:00<31:03,  4.56s/it, loss=0.1580, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  59%|█████▉    | 592/1000 [48:00<31:32,  4.64s/it, loss=0.1580, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  59%|█████▉    | 592/1000 [48:06<31:32,  4.64s/it, loss=0.1494, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  59%|█████▉    | 593/1000 [48:06<31:59,  4.72s/it, loss=0.1494, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  59%|█████▉    | 593/1000 [48:11<31:59,  4.72s/it, loss=0.1563, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  59%|█████▉    | 594/1000 [48:11<31:58,  4.73s/it, loss=0.1563, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  59%|█████▉    | 594/1000 [48:16<31:58,  4.73s/it, loss=0.1679, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  60%|█████▉    | 595/1000 [48:16<31:50,  4.72s/it, loss=0.1679, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  60%|█████▉    | 595/1000 [48:19<31:50,  4.72s/it, loss=0.1720, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  60%|█████▉    | 596/1000 [48:19<31:17,  4.65s/it, loss=0.1720, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  60%|█████▉    | 596/1000 [48:25<31:17,  4.65s/it, loss=0.1666, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  60%|█████▉    | 597/1000 [48:25<31:37,  4.71s/it, loss=0.1666, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  60%|█████▉    | 597/1000 [48:29<31:37,  4.71s/it, loss=0.1595, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  60%|█████▉    | 598/1000 [48:29<31:27,  4.70s/it, loss=0.1595, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  60%|█████▉    | 598/1000 [48:34<31:27,  4.70s/it, loss=0.1637, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  60%|█████▉    | 599/1000 [48:34<31:13,  4.67s/it, loss=0.1637, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  60%|█████▉    | 599/1000 [48:41<31:13,  4.67s/it, loss=0.1614, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  60%|██████    | 600/1000 [48:41<32:09,  4.82s/it, loss=0.1614, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
                                                                                                              

train:  60%|██████    | 600/1000 [48:41<32:09,  4.82s/it, loss=0.1614, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  60%|██████    | 600/1000 [48:47<32:09,  4.82s/it, loss=0.1543, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  60%|██████    | 601/1000 [48:47<32:28,  4.88s/it, loss=0.1543, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  60%|██████    | 601/1000 [48:51<32:28,  4.88s/it, loss=0.1822, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  60%|██████    | 602/1000 [48:51<32:03,  4.83s/it, loss=0.1822, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  60%|██████    | 602/1000 [48:57<32:03,  4.83s/it, loss=0.1982, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  60%|██████    | 603/1000 [48:57<32:11,  4.87s/it, loss=0.1982, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  60%|██████    | 603/1000 [49:01<32:11,  4.87s/it, loss=0.1634, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  60%|██████    | 604/1000 [49:01<32:04,  4.86s/it, loss=0.1634, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  60%|██████    | 604/1000 [49:05<32:04,  4.86s/it, loss=0.1643, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  60%|██████    | 605/1000 [49:05<31:34,  4.80s/it, loss=0.1643, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  60%|██████    | 605/1000 [49:10<31:34,  4.80s/it, loss=0.1677, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  61%|██████    | 606/1000 [49:10<31:24,  4.78s/it, loss=0.1677, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  61%|██████    | 606/1000 [49:14<31:24,  4.78s/it, loss=0.1531, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  61%|██████    | 607/1000 [49:14<31:22,  4.79s/it, loss=0.1531, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  61%|██████    | 607/1000 [49:18<31:22,  4.79s/it, loss=0.1668, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  61%|██████    | 608/1000 [49:18<31:00,  4.75s/it, loss=0.1668, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  61%|██████    | 608/1000 [49:24<31:00,  4.75s/it, loss=0.1701, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  61%|██████    | 609/1000 [49:24<31:05,  4.77s/it, loss=0.1701, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  61%|██████    | 609/1000 [49:28<31:05,  4.77s/it, loss=0.1624, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  61%|██████    | 610/1000 [49:28<30:53,  4.75s/it, loss=0.1624, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  61%|██████    | 610/1000 [49:34<30:53,  4.75s/it, loss=0.1658, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  61%|██████    | 611/1000 [49:34<31:10,  4.81s/it, loss=0.1658, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  61%|██████    | 611/1000 [49:38<31:10,  4.81s/it, loss=0.1777, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  61%|██████    | 612/1000 [49:38<30:55,  4.78s/it, loss=0.1777, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  61%|██████    | 612/1000 [49:43<30:55,  4.78s/it, loss=0.1664, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  61%|██████▏   | 613/1000 [49:43<30:56,  4.80s/it, loss=0.1664, lr=3.00e-04, sup=4, onp=12, gpu=22.48G]
train:  61%|██████▏   | 613/1000 [49:47<30:56,  4.80s/it, loss=0.1462, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  61%|██████▏   | 614/1000 [49:47<30:30,  4.74s/it, loss=0.1462, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  61%|██████▏   | 614/1000 [49:50<30:30,  4.74s/it, loss=0.1745, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  62%|██████▏   | 615/1000 [49:50<29:55,  4.66s/it, loss=0.1745, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  62%|██████▏   | 615/1000 [49:53<29:55,  4.66s/it, loss=0.1691, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  62%|██████▏   | 616/1000 [49:53<29:24,  4.59s/it, loss=0.1691, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  62%|██████▏   | 616/1000 [49:59<29:24,  4.59s/it, loss=0.1577, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  62%|██████▏   | 617/1000 [49:59<29:42,  4.65s/it, loss=0.1577, lr=3.00e-04, sup=5, onp=11, gpu=22.48G]
train:  62%|██████▏   | 617/1000 [50:04<29:42,  4.65s/it, loss=0.1613, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  62%|██████▏   | 618/1000 [50:04<29:41,  4.66s/it, loss=0.1613, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  62%|██████▏   | 618/1000 [50:08<29:41,  4.66s/it, loss=0.1799, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  62%|██████▏   | 619/1000 [50:08<29:21,  4.62s/it, loss=0.1799, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  62%|██████▏   | 619/1000 [50:14<29:21,  4.62s/it, loss=0.1536, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  62%|██████▏   | 620/1000 [50:14<29:40,  4.69s/it, loss=0.1536, lr=3.00e-04, sup=6, onp=10, gpu=22.48G]
train:  62%|██████▏   | 620/1000 [50:17<29:40,  4.69s/it, loss=0.1660, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  62%|██████▏   | 621/1000 [50:17<29:02,  4.60s/it, loss=0.1660, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  62%|██████▏   | 621/1000 [50:20<29:02,  4.60s/it, loss=0.1670, lr=3.00e-04, sup=9, onp=7, gpu=22.48G] 
train:  62%|██████▏   | 622/1000 [50:20<28:38,  4.55s/it, loss=0.1670, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  62%|██████▏   | 622/1000 [50:25<28:38,  4.55s/it, loss=0.1696, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  62%|██████▏   | 623/1000 [50:25<28:27,  4.53s/it, loss=0.1696, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  62%|██████▏   | 623/1000 [50:29<28:27,  4.53s/it, loss=0.1698, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  62%|██████▏   | 624/1000 [50:29<28:19,  4.52s/it, loss=0.1698, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  62%|██████▏   | 624/1000 [50:32<28:19,  4.52s/it, loss=0.1565, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  62%|██████▎   | 625/1000 [50:32<27:45,  4.44s/it, loss=0.1565, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
                                                                                                              

train:  62%|██████▎   | 625/1000 [50:32<27:45,  4.44s/it, loss=0.1565, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  62%|██████▎   | 625/1000 [50:35<27:45,  4.44s/it, loss=0.1655, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  63%|██████▎   | 626/1000 [50:35<27:15,  4.37s/it, loss=0.1655, lr=3.00e-04, sup=11, onp=5, gpu=22.48G]
train:  63%|██████▎   | 626/1000 [50:39<27:15,  4.37s/it, loss=0.1624, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  63%|██████▎   | 627/1000 [50:39<27:05,  4.36s/it, loss=0.1624, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  63%|██████▎   | 627/1000 [50:44<27:05,  4.36s/it, loss=0.1554, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  63%|██████▎   | 628/1000 [50:44<27:07,  4.38s/it, loss=0.1554, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  63%|██████▎   | 628/1000 [50:49<27:07,  4.38s/it, loss=0.1736, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  63%|██████▎   | 629/1000 [50:49<27:22,  4.43s/it, loss=0.1736, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  63%|██████▎   | 629/1000 [50:53<27:22,  4.43s/it, loss=0.1543, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  63%|██████▎   | 630/1000 [50:53<27:10,  4.41s/it, loss=0.1543, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  63%|██████▎   | 630/1000 [50:57<27:10,  4.41s/it, loss=0.1753, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  63%|██████▎   | 631/1000 [50:57<26:51,  4.37s/it, loss=0.1753, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  63%|██████▎   | 631/1000 [50:59<26:51,  4.37s/it, loss=0.1953, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  63%|██████▎   | 632/1000 [50:59<26:10,  4.27s/it, loss=0.1953, lr=3.00e-04, sup=10, onp=6, gpu=22.48G]
train:  63%|██████▎   | 632/1000 [51:03<26:10,  4.27s/it, loss=0.1634, lr=3.00e-04, sup=8, onp=8, gpu=22.48G] 
train:  63%|██████▎   | 633/1000 [51:03<25:59,  4.25s/it, loss=0.1634, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  63%|██████▎   | 633/1000 [51:09<25:59,  4.25s/it, loss=0.1630, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  63%|██████▎   | 634/1000 [51:09<26:35,  4.36s/it, loss=0.1630, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
train:  63%|██████▎   | 634/1000 [51:13<26:35,  4.36s/it, loss=0.1688, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  64%|██████▎   | 635/1000 [51:13<26:08,  4.30s/it, loss=0.1688, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  64%|██████▎   | 635/1000 [51:17<26:08,  4.30s/it, loss=0.1836, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  64%|██████▎   | 636/1000 [51:17<26:05,  4.30s/it, loss=0.1836, lr=3.00e-04, sup=8, onp=8, gpu=22.48G]
train:  64%|██████▎   | 636/1000 [51:21<26:05,  4.30s/it, loss=0.1589, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  64%|██████▎   | 637/1000 [51:21<25:54,  4.28s/it, loss=0.1589, lr=3.00e-04, sup=9, onp=7, gpu=22.48G]
train:  64%|██████▎   | 637/1000 [51:26<25:54,  4.28s/it, loss=0.1627, lr=3.00e-04, sup=7, onp=9, gpu=22.48G]
